Uqno,Psuno_seg,Taz_exp,Stratum,Metro_code,District_code,Pr_code,Geo_type
1601000410000001201,16010004100,900100,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1601000410000005401,16010004100,900100,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1601000410000006801,16010004100,900100,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1601000410000008201,16010004100,900100,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1601000410000009601,16010004100,900100,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1601000410000013801,16010004100,900100,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1601002510000000601,16010025100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601002510000001401,16010025100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601002510000002201,16010025100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601002510000003001,16010025100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601002510000003801,16010025100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601002510000004601,16010025100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601002510000005401,16010025100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601002510000006201,16010025100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601002510000007001,16010025100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601002510000007801,16010025100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601004510000000201,16010045100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601004510000001901,16010045100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601004510000003601,16010045100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601004510000005301,16010045100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601004510000008701,16010045100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601004510000010401,16010045100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601004510000013801,16010045100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601004510000015501,16010045100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601004510000017201,16010045100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601006810000009401,16010068100,900100,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1601006810000012401,16010068100,900100,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1601006810000015401,16010068100,900100,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1601006810000018401,16010068100,900100,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1601006810000021401,16010068100,900100,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1601007110000003701,16010071100,900100,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1601007610000002001,16010076100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601007610000004801,16010076100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601007610000006201,16010076100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601007610000007601,16010076100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601007610000009001,16010076100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601007610000010401,16010076100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601008510000001601,16010085100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601008510000002901,16010085100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601008510000004201,16010085100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601008510000005501,16010085100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601008510000006801,16010085100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601008510000009401,16010085100,900100,1102,01,DC01,Western Cape,Urban: Urban area
1601008510000012001,16010085100,900100,1102,01,DC01,Western Cape,Urban: Urban area
